text_combined,label
"Urgent! Verify your bank account immediately http://fakebank.com",1
"Click here to reset your password now",1
"Your account has been suspended. Login urgently",1
"Win a free iPhone today",1
"Confirm your credit card details immediately",1
"Security alert! Verify your PayPal account",1
"Claim your lottery prize now",1
"Your Netflix account is expiring. Update payment",1
"Login now to avoid account suspension",1
"Your bank requires immediate verification",1
"Congratulations! You won a gift card",1
"Click this link to secure your account",1
"Verify your identity to continue",1
"Your email password has expired",1
"Unauthorized login detected. Verify now",1
"Reset your password immediately",1
"Claim your cashback reward today",1
"Important notice regarding your account",1
"Your package delivery failed. Update address",1
"Limited time offer! Click now",1
"Team meeting scheduled tomorrow morning",0
"Happy birthday! Have a wonderful day",0
"Please review the attached project report",0
"Lunch meeting at 1 PM today",0
"Weekly status update attached",0
"Can we reschedule tomorrow’s meeting?",0
"Project deadline extended to Friday",0
"Invoice attached for your purchase",0
"Let's catch up this weekend",0
"Monthly sales report is ready",0
"Reminder about tomorrow’s presentation",0
"Thank you for your support",0
"Family dinner planned for Sunday",0
"Please find the meeting agenda attached",0
"Your order has been shipped successfully",0
"Conference call starts at 10 AM",0
"Good morning team",0
"Please update the project documentation",0
"Holiday announcement for employees",0
"Training session scheduled next week",0
"Urgent! Update your banking information",1
"Verify your account to avoid closure",1
"Suspicious activity detected on your account",1
"Your account will be terminated unless verified",1
"Bank security check required immediately",1
"Claim your free vacation package now",1
"Your Amazon account needs verification",1
"Payment failed. Update card information",1
"Click below to unlock your account",1
"Final notice before account suspension",1
"Verify your login credentials immediately",1
"Confirm your payment details today",1
"Security notice from your bank",1
"Update your email account settings",1
"Important account verification required",1
"Your account has unusual login activity",1
"Immediate action required to secure account",1
"Verify billing information to continue",1
"Your account access is restricted",1
"Click here to restore access now",1
"Meeting postponed until next Monday",0
"Team outing planned for Friday",0
"Your subscription renewal was successful",0
"Please send the final presentation slides",0
"Daily standup meeting starts in 10 minutes",0
"The client approved the proposal",0
"Thanks for attending the workshop",0
"Your food order has been delivered",0
"Please review the updated budget sheet",0
"The exam timetable has been published",0
"Reminder to submit assignment before deadline",0
"Birthday celebration in office cafeteria",0
"Meeting notes attached for reference",0
"Travel itinerary for next week attached",0
"Your electricity bill payment was received",0
"Let's discuss the project tomorrow",0
"The workshop starts at 9 AM sharp",0
"Client feedback has been received",0
"Office will remain closed on Monday",0
"Project files uploaded successfully",0
"Verify your Microsoft account immediately",1
"Click to avoid losing account access",1
"Your account password must be updated",1
"Suspicious login attempt detected",1
"Urgent action required for your account",1
"Claim your reward points today",1
"Reset your banking PIN immediately",1
"Security verification needed urgently",1
"Your account is under review",1
"Update your billing information now",1
"Your mailbox storage is full. Verify account",1
"Immediate response required from user",1
"Your tax refund is waiting. Claim now",1
"Important security update available",1
"Confirm account ownership today",1
"Your account verification failed",1
"Please secure your account immediately",1
"Login attempt blocked. Verify identity",1
"Action required to continue using services",1
"Verify account within 24 hours",1
"Monthly newsletter for all employees",0
"Thank you for completing the survey",0
"Meeting invitation for tomorrow",0
"The assignment results are published",0
"Please review the internship guidelines",0
"Office maintenance scheduled tonight",0
"Your support ticket has been resolved",0
"Weekly project sync meeting reminder",0
